DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE 1,OBS_FLAG
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2014,113.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2016,82,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2017,94.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2018,111.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2019,119.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2020,123.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2021,118.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2022,123.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2010,76,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2011,88.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2012,102.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2013,106.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2014,99.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2016,74.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2017,96.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2018,107.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2019,108.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2020,107.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2021,101.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LV,2022,88.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2010,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2011,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2012,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2013,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2014,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2015,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2016,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2017,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2018,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,NL,2019,,c
