DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IS,2018,5375,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IS,2019,5525,p
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IS,2020,5701,p
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2011,590555,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2012,572412,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2013,549846,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2014,529103,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2015,511405,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2016,508696,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2017,502775,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2018,493674,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2019,479574,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IT,2020,490251,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2011,16995,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2012,20242,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2013,22736,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2014,27543,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2015,29067,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2016,31151,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2017,31708,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2018,32535,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2019,33036,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LT,2020,33264,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2011,3300,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2012,3365,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2013,3512,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2014,3542,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2015,3634,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2016,3760,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2017,3930,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2018,4077,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2019,4244,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LU,2020,4309,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2011,6579,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2012,8000,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2013,8767,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2014,9424,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2015,11057,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2016,11752,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2017,11590,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2018,11635,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2019,11658,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,LV,2020,11558,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2011,3924,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2012,3835,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2013,3623,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2014,3758,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2015,3646,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2016,4005,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2017,4125,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2018,4192,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2019,4239,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,MT,2020,4360,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,NL,2011,128189,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,NL,2012,134589,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,NL,2013,152519,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,NL,2014,154748,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,NL,2015,160728,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,NL,2016,167022,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,NL,2017,173775,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,NL,2018,187654,
